"","WTB1R1","WTB1R2","WTB1R3","WTB1R4","DIG1R1","DIG1R2","DIG1R3","DIG1R4","SAN1R1","SAN1R2","SAN1R3","SAN1R4","TOS8R1","TOS8R2","TOS8R3","TOS8R4","ROF1R1","ROF1R2","ROF1R3","ROF1R4","SFL1R1","SFL1R2","SFL1R3","SFL1R4","HEK2R1","HEK2R2","HEK2R3","HEK2R4"
"YOR280C",43.0643844399592,39.8816450339962,38.487838827632,38.5399521542159,42.9554200744644,42.5959831428868,39.680404498869,46.4935404279789,46.513964206044,49.8115019366065,46.2702522682732,57.2444159676574,39.6873086885687,40.0431697496596,41.468061304763,43.3660271154406,49.8765157223745,49.6815138956443,45.7189028790107,46.5638661314265,46.9489800715346,43.4203640995625,44.7791210384272,47.0188072055053,43.2248417696889,45.8024899089751,49.9197891830879,41.0948912444527
"YHR215W",11.684177136324,9.89644604677308,9.75902465999787,11.7424479716262,6.11461781650385,6.42685738455931,9.49616517921652,7.58874923720765,8.03579545939556,9.17954115562891,10.352067500946,9.90400866839699,7.22051807833363,7.91298924805724,6.93657018066436,7.68933464335131,9.20797213336146,9.82894715046686,10.0493792236831,8.82241857585216,8.9135496741773,9.77978555098605,8.81598887201354,10.0804008231364,8.32428068377184,8.95182258570268,8.9812068846262,9.74001105612039
"YKL025C",24.3997818353267,28.7038517062498,26.752181757392,29.3431397260174,24.48764243948,29.3957840887141,31.802677135123,34.9491314513117,33.8519151429289,31.3614383694229,31.7759756667273,33.0111153292481,36.5037302849089,37.7963150495488,39.3450776129857,42.2153794418207,35.0309175132442,36.812163486386,42.8968346187937,35.5543468606842,39.3714384642546,40.0519200695214,39.7855092483033,37.6202642779675,29.7207403493673,32.542095524997,32.5325450619587,36.4839547135796
"YKR011C",47.7160417113543,43.397293749598,44.0627953407603,46.9884921790314,37.6816485112614,36.2872350208699,32.2823629821307,35.1609243130562,46.0520446760914,46.1445928588552,48.7213915875031,42.9594526440091,37.5938336106084,35.2067645951909,41.0673580187601,39.2266497157069,53.2579744154169,55.5653201690119,55.7548209719215,50.0236117668092,40.2767073817746,42.765841900922,43.9828735930741,44.3291720475632,40.376637666123,38.5938159908097,37.3389069454062,43.7643948887298
"YJL200C",42.3365531950847,48.4981781054803,47.0097724466145,52.0554260517709,73.2167128631895,69.2056612826241,67.004632406951,77.9379718773151,68.0633058189058,65.3537686537899,66.6615489976107,67.1574467902663,50.9071913123359,50.1785812489529,52.6064595979939,55.9489927380351,53.4499471019776,50.2717227747384,64.1819590794766,57.0263268553563,62.419434498996,63.0610475907885,58.8849082466421,57.1682215719575,54.9853497089776,67.0988171105777,61.955967146477,45.7988750629028
"YLL027W",137.727006836082,155.19733986896,152.430970023597,152.084466121989,158.266879772634,169.386739722626,172.001115915416,156.835092773341,170.179876874696,153.22083557858,142.06171101856,139.490287311058,237.180754087945,234.88918498883,238.489207645762,235.41276502397,145.695065050379,151.939331092207,152.110506150856,126.114891833297,170.248427754323,166.117199763021,141.860841438014,130.151755381021,161.884242255224,162.639660516641,149.83116371165,141.418068020245
"MUT203.1",9.49522556399705,82.3731924114491,57.9411096138522,14.025670911189,39.5794089510619,51.2516013813436,132.693827519357,21.4378348672828,93.7592444021555,75.6213075588737,93.8734645794033,60.8123951780588,51.8753787089938,34.5332737988506,49.5093069635241,72.8764258275926,40.1019229027382,79.1823312261336,66.3473043530988,43.7535157057554,11.9011507406806,115.518973104979,90.590180120034,49.8043069452338,67.4169499400028,100.229412116961,91.8046165983844,83.8663054035185
"YDR348C",64.7194574442039,66.2475167261023,69.6695116405271,71.256641860356,66.2909309319703,63.1004925159495,63.9648120521769,71.561763461088,71.2618826434338,82.7306421487617,78.7759210205987,72.4757347064804,70.7546589293777,66.8312669590338,68.094198333527,78.482632119035,85.3486937041273,79.8839679348374,83.2820284859943,86.1562108443419,68.1559276459661,68.4026143680396,71.6156881724041,75.9557780249236,72.3043042720422,70.1377870609347,76.5425720217764,68.4224592963687
"4R-488",1.59376126487894,3.29944202357271,2.0587917151456,3.13892083434016,2.39708589221294,1.33323105317986,3.79918766478533,3.88415997943378,4.46600962889317,4.65233975246424,3.09240484496344,5.70521054996809,1.33144304990549,2.87948460090469,3.00306646119419,1.89954165868724,3.18360738653455,2.41832952526949,3.09193188163522,1.9521947486992,3.09101182731077,2.9428534028803,2.88344037342142,2.30988620304043,3.67765040157344,3.0255479479704,2.35341815341829,2.63217817551799
"YPL183C",14.2204684851994,14.1105920282286,16.2607998898009,15.9314162464809,20.1326847065505,18.8479952143326,20.0749975423272,20.5567269056782,16.9743600687912,18.9002989247634,16.2925616207196,14.5821259224459,16.0044531764774,16.7076711391385,16.1466650359277,18.5573490218285,17.2354350188561,13.2532538723871,15.5300691892354,16.785216880211,20.6311321964884,20.0638542115327,17.5131772202043,18.1622413285863,16.3906813148566,15.7389545923361,17.4533575085853,13.6081734684836
"12F-257",8.30539793260566,7.72912585543158,7.60209384321134,6.89352756622909,6.06738636075439,4.76415404853288,6.28517494702255,6.3089168524546,8.20104619286718,6.68244639020952,7.67386629953969,5.94619093222651,7.40096749176611,7.9899685503648,9.34005464664268,7.13589494200045,5.40372810255082,9.0228822451604,7.11467862175255,7.12128485679133,7.75807132037963,5.49698008190889,6.1058702170022,6.44071754377578,6.90780504313088,5.57899146835155,5.95685671989824,6.87346795439463
"YBL095W",119.546797460615,112.919649279074,110.117247795913,108.741599715845,105.845052411064,99.4265667334499,108.938084675862,91.2471396711667,116.504897560625,79.8320092883239,88.4929873531052,100.07727267303,131.621252055233,117.811586497598,115.85507814662,110.894843038752,110.538137796525,109.837408983176,96.8155336114039,73.8088095762805,83.2454945943489,82.0326556074275,73.4191621007787,68.9045020862687,75.8516700196223,71.5645574942723,63.4684744437548,74.6558352694035
"YGL060W",9.56753257763774,9.24323436261107,9.55574385169916,10.7429810019531,9.58162276728479,11.7124971027016,11.1871545394008,10.5986636652066,11.3887883137637,12.5017244145383,13.2816058554193,10.2031101891619,10.1372174890001,9.96525115351326,11.3589507631359,10.9110983845514,12.5856628458328,11.4348830383963,12.5524903775817,13.3628034628639,12.9631285957557,14.2192075634497,13.056492148947,14.696659144012,10.8729958853133,11.7733909305337,12.0603515961778,12.3475206985028
"YLL007C",11.6971547488412,11.3006714993557,10.6352357609413,10.1897099757409,13.0256063722502,10.4906866879715,10.6648534614077,13.7053692968009,12.1340006358591,11.2014468867846,14.0396418161478,13.4014930786573,12.4028118342548,11.6936317719786,12.3153781585943,13.0545770126136,13.2554703946851,14.3959170945163,13.9647614113495,14.1211684712589,15.1136024460637,14.4242396929601,14.9373820790623,17.1901441154469,10.9603156978285,12.285304187901,13.2865649502294,13.6743753934654
"YEL009C",1698.94950836095,1837.42260246071,1621.16122289615,1664.54356077697,1322.31248100773,1622.09778136883,1516.15729955785,1654.88755487391,1627.61239808551,1463.93624210875,1690.85824911834,1602.75664950175,1496.24611186046,1572.76576330323,1523.16643158607,1490.65314010572,1491.41394034522,1684.86440572305,1661.96023383168,1513.27629603333,1696.00875143754,1739.67224798148,1705.0388094539,1770.77276256111,1298.49348794016,1457.8098529304,1551.49091764101,1608.39584873767
"YOR083W",5.18780060375289,5.02941973322975,4.83816053059216,5.35790456604854,5.10028613147198,4.23390942563874,4.55788430054577,5.718876824756,4.72753271526979,5.21446665419283,5.23758658426241,6.21185086907723,11.2752834856861,7.56483761552172,7.41748397697364,7.88842923747976,4.24624390609405,3.83991512458332,5.44506677189692,5.42459520542261,5.88963064392998,3.99309776840454,5.66369456731349,7.20207762078207,8.2202367733714,6.13443999222064,6.72632350605362,6.10845922748847
"YDR329C",70.2462897776901,65.4911870742336,70.624008469187,70.5103172713911,72.8486333840259,70.3882652522139,70.293567245734,68.2611957224803,70.6006740881286,71.9360449561226,71.4658024653542,74.2728428384501,77.7739463600903,76.2690306261839,78.2714773327139,78.4022100343862,74.9501849384642,76.6012474913949,75.679198198708,75.7690065926127,74.610871460585,78.118170687482,73.5637302441868,78.3308921457206,69.3082851871884,73.0307037486339,74.6997284691897,74.4728685221869
"YBR252W",67.5679395708304,73.9045288577372,78.4566572528459,81.240785513108,99.4175177269016,102.672303571739,114.75144003727,99.8000073339773,135.798377246125,124.104306369789,132.249061252626,120.613437707916,83.7189798812196,93.0225636458111,96.1093995302155,101.62152958871,92.8107596617699,96.1334045307447,101.403210702867,103.842251075233,99.142115839488,98.7229703592781,109.746800118721,102.429548384456,106.189288154372,116.332633105485,118.084345995163,92.9128798286404
"YDL202W",53.9328812035033,55.991971065632,65.8763937845429,59.454299523237,140.333078805,112.039404785023,133.167437498204,121.747935238994,108.589535456661,116.584350192223,114.530305838066,131.161160483609,115.643817542591,120.473447360615,126.151481205641,135.97795904418,96.3614283756276,99.5942070938515,115.199760215398,125.518313562364,128.923453878423,129.663191059416,128.133255373222,127.040381332746,126.632253381194,116.779634226846,120.78683330604,103.042891413224
"YHR209W",140.57847650076,126.537368090342,124.334098019053,123.656818793231,91.9824246748887,95.8168502277599,94.5806901753865,85.1395291133297,94.2284697128141,90.4769490377504,101.209185964728,106.52331478913,134.585181715789,122.021297633356,119.123921732743,107.81149928368,110.069954559925,115.951203394509,93.2007611394528,99.4516198091609,107.039138532637,104.812124403082,110.08129770616,116.879378902661,90.4773691655801,84.361458641986,93.9432945076834,98.1942527959109
"YER075C",18.2227472072595,19.0517619651779,19.1443251996306,18.9771247212826,16.1293691197234,17.1999721984506,17.2133509290035,16.7210065383355,18.7910519961305,19.7158104826776,18.0440213809815,15.8338674466899,17.1095448113797,15.720086740373,16.4929803649774,18.5845858497282,18.8446254236313,19.2878355602447,21.444736671179,19.9012490501139,20.8879770492345,21.0333816263403,19.5153837879645,18.8253804221567,15.3570909498841,17.4498233640747,17.3238428871377,16.8712660750743
"YER054C",28.7210875666298,25.2336197504079,26.261782115054,27.1410877971088,37.1028726369192,35.4399041431334,30.7179816248075,31.2572291241138,28.1016944681447,31.1601583549276,37.4167843050586,32.2359984080164,27.9643460730606,26.8923549413851,30.6512132573334,29.4467549437913,36.7941509427353,38.8979740356162,40.2826654385322,44.7066821093274,35.5727764992124,37.012022132069,39.7888705215618,46.6689576760008,36.5219489788313,36.7805227773305,44.0226370246432,47.148333747824
"YDR305C",32.9670482906116,33.9784799294333,35.1629432909794,38.4211514507491,36.4828084607299,37.0657971063388,38.1316403932604,34.9788257440701,38.4209065247444,37.2887001710058,43.426853502488,46.091431818604,36.7213068353477,39.0458534662747,38.1196780857014,41.2609003339738,35.2827680534052,45.8929290798114,40.1130210783734,40.1960314441114,35.6978881790518,34.9296859056175,41.992067792025,42.240987630787,35.0029771940625,37.8505163462987,38.8551554347,36.3490752789774
"ST4314",3.89688448002191,2.868416649395,2.95323556087013,3.83746680036384,4.45442296317118,4.34648736412393,3.71573729989409,3.22326087205561,4.18591596141634,4.63936825094428,4.20066554084629,4.51705687473939,4.19596965785245,3.5843001169853,3.64418354000019,3.76327159379585,3.42504628197578,2.59709349629757,3.11565348198828,5.40972348281155,3.45499059409402,4.36092832166182,3.5164268343305,4.17600236097756,3.73521078135796,3.41433556778518,2.87715571935241,2.97041716739202
"YNL201C",14.3011779158171,15.9586981601163,17.054656678269,17.7327102198419,18.4143077829275,19.3310742344064,18.6622624185601,21.1361771428221,17.2271512285652,16.8004166614017,14.7768231512921,11.6836791472322,17.8238736265579,16.4854988311082,19.2427766595056,22.3376028956292,19.9622189817839,16.2985109373398,14.9181050358503,13.0847046165724,22.9042280022715,18.6780404569306,14.7716488340637,14.9134212829595,15.199988952648,13.20517430251,13.8424274972595,12.3302473842143
"YCR061W",19.3193117883505,17.7647805661602,17.8215786633205,18.4995180027034,25.5631004688872,28.802642697138,31.2671541779063,21.5327280793121,13.0081952402756,12.1296855124747,9.9655029550246,11.2131116030679,24.8198961792509,17.7151260616648,17.2459855757574,18.1251786604728,13.6844744086388,9.20378762921347,10.5353398176316,10.2351223098336,17.4700858341045,16.8316652769457,13.7078322768807,13.7111283162639,20.0704100177398,17.5674007860185,16.6266013528681,18.2948557342934
"YBR206W",27.0496703566953,21.2508506629368,24.3699937837235,19.8071717463224,20.2376195974051,17.9862744859542,13.226801499623,20.5912790828905,23.6464182665624,30.9649192674907,25.5696067273366,23.0547860187203,16.6101629867839,19.1383925999524,20.9102405446114,24.163685202389,25.4924413692137,29.220164590729,24.7094286904418,26.3365532301365,24.5972581390233,22.5866475820392,19.1477844276174,21.3839465160258,19.6979565668321,18.7372787803437,23.0438860855541,19.649472548151
"YHR051W",1214.59583321834,1304.56246961032,1247.0115236031,1121.32153496538,1584.23889251096,1564.02319113065,1569.37331350225,1452.42462977143,1540.45860316879,1561.26497744343,1552.9268464399,1837.67949714773,1574.94521842848,1713.45496815652,1715.20107339759,1672.27723884515,1609.37122342304,1704.15948653856,1560.8464525213,1506.84540841038,1414.4713135168,1511.58165781722,1506.40300051627,1445.18826562721,1306.94619810423,1396.97374258681,1274.9919254316,1361.21932492323
"YDL116W",19.52521967764,18.7140841854213,20.470676467815,18.6187226518341,22.3466436394552,21.9790566332333,23.1969352297377,22.6910323770398,20.4031728300282,23.2123859936852,21.2583337187239,19.8645363990734,17.7318178943397,19.0556563772762,20.7520475281116,22.9737815844446,23.1339217353297,20.1590728223452,21.4428588415017,20.3825780467693,25.4357049110421,23.902726013591,24.5373739413912,22.5627673958109,20.4654182171148,20.1166445352356,20.6919516322554,19.0457628328005
"MUT1067.1",23.5421306840689,27.7655902097985,16.0350463299626,28.4520752769833,21.2450298218415,14.3227107427322,15.8721617995476,17.07012645507,24.9883872092832,21.314753218853,24.9159476079912,26.2672551035266,23.8391707983079,16.1699888497557,21.955752571842,18.0519079827772,23.0857015629276,25.5977131935248,21.1375706817244,18.3506306377725,15.4172100121378,15.807326849757,16.3486492283513,27.6346385745564,19.374347280377,20.3143933649441,20.5419784534082,24.198684193828
"4R-234",5.80263784466486,5.67875796169838,5.45144848517427,4.41548899055949,3.17360667419741,3.75088595595319,3.63271308792463,1.86996690431127,2.95637257123914,2.8985579899363,4.43535061096869,3.23716172050503,4.11309637013058,3.55234751981008,2.31926963787063,1.93452779974649,3.58267929836775,2.91922627863931,3.90747345348779,2.26152138141562,3.94617103506777,2.65648098467428,2.68639776052721,3.05815919839155,3.27721284430569,2.92720944478609,2.72631891716414,1.5413784440601
"MUT456.1",3.00071668417118,2.94502124834027,2.75645941208812,2.29830479487666,3.20939215004889,1.39455176927567,2.47266615571587,5.61406236034697,2.64713775481131,4.3510623832612,3.4502795896328,5.11509975124312,2.22829044553916,3.17621055654149,3.35060234245999,4.52403964089082,3.19683305520264,5.11863568221642,6.11546926251671,4.08396824282771,3.51030974369035,2.0148265272485,2.68094357172714,2.28433850022827,3.07744039538193,2.62913970279007,5.90798741184531,3.64275194662533
"YDL165W",65.9335714944448,66.7678753936867,72.3708179367744,66.8492046438381,77.3384805619909,73.4318666009219,67.9940264589995,77.1020468644801,70.6052086512299,66.8574290530293,68.1295442406009,68.6323245326519,73.0074605698178,78.1128367611897,75.8813026013437,77.0455923245909,72.9444042439728,68.1133179892999,67.0182091276029,67.1422813699749,80.5295975694096,77.0158112140151,75.9695318446459,73.4045087136654,67.173109698611,66.3717459499676,65.0989781916902,64.5326567598749
"YPL119C-A",61.287365003981,44.87741067517,44.6430267141004,54.9043624347511,37.6396964302254,46.6403613319794,43.7386276862534,44.5073372849995,39.5554811165131,34.7868131491076,43.4927999596563,47.0124168046072,50.2518884441603,55.3646357355766,63.6217830206784,47.7608533832865,43.5285955395269,54.855343656748,50.7421796194805,40.663329254155,38.4419506640062,46.2952186147327,39.8123505431242,39.9266693690831,36.8665164381505,31.5725449325792,32.0519506462706,47.4735422163135
"YIL143C",50.8993341400229,50.9073151144159,50.1013306130042,48.9870622034597,48.2689030276508,49.0009801772976,46.6385796953532,47.5069080121354,48.2477201377345,48.4928923431863,46.6107971971504,43.2989557615892,48.7869760205891,48.3529480607971,48.9619228392041,48.5612319627357,51.5548250191938,45.6135242616101,46.9584656732622,49.4097252658033,52.5733606091994,50.206651279859,49.8958681082705,51.5226039097391,45.5754468421748,48.3679559119394,51.7668341447992,51.7986371948134
